time,open,high,low,close,volume
2020-10-26 22:00:00,1902.45,1903.02,1900.78,1901.68,1258
2020-10-27 00:00:00,1902.06,1902.77,1902.06,1902.44,85
2020-10-27 01:00:00,1902.39,1903.27,1901.99,1902.24,1047
2020-10-27 02:00:00,1902.24,1905.45,1901.9,1905.17,2169
2020-10-27 03:00:00,1905.35,1908.6,1905.32,1906.81,3728
2020-10-27 04:00:00,1906.82,1910.35,1906.82,1908.72,3320
2020-10-27 05:00:00,1908.72,1909.07,1907.33,1907.62,2024
2020-10-27 06:00:00,1907.62,1908.4,1906.89,1907.63,1222
2020-10-27 07:00:00,1907.59,1908.91,1906.78,1907.72,2276
2020-10-27 08:00:00,1907.76,1910.38,1907.69,1908.65,3195
2020-10-27 09:00:00,1908.65,1908.65,1903.22,1904.21,4036
2020-10-27 10:00:00,1904.17,1905.07,1900.12,1901.24,5080
2020-10-27 11:00:00,1901.24,1901.64,1897.84,1901.02,4076
2020-10-27 12:00:00,1901.04,1901.95,1898.35,1900.81,3034
2020-10-27 13:00:00,1900.81,1903.11,1900.56,1902.77,3018
2020-10-27 14:00:00,1902.79,1905.84,1900.76,1905.73,4188
2020-10-27 15:00:00,1905.69,1907.65,1902.13,1906.68,5958
2020-10-27 16:00:00,1906.7,1908.01,1905.24,1905.79,5777
2020-10-27 17:00:00,1905.77,1911.42,1904.71,1908.51,5140
2020-10-27 18:00:00,1908.53,1910.22,1907.64,1909.28,3736
2020-10-27 19:00:00,1909.24,1910.99,1908.61,1908.62,2364
2020-10-27 20:00:00,1908.63,1909.85,1907.78,1907.92,1755
2020-10-27 21:00:00,1907.94,1908.74,1906.34,1907.67,2131
2020-10-27 22:00:00,1907.66,1908.18,1906.27,1907.35,1513
2020-10-28 00:00:00,1907.75,1908.47,1904.28,1904.65,2063
2020-10-28 01:00:00,1904.72,1905.53,1904.25,1905.19,1284
2020-10-28 02:00:00,1905.2,1907.67,1902.41,1906.61,2536
2020-10-28 03:00:00,1906.61,1908.19,1904.75,1906.65,2953
2020-10-28 04:00:00,1906.64,1907.36,1905.42,1905.58,2259
2020-10-28 05:00:00,1905.54,1907.01,1904.43,1906.73,1839
2020-10-28 06:00:00,1906.71,1908.8,1906.51,1908.19,1741
2020-10-28 07:00:00,1908.2,1909.14,1907.23,1908.3,2142
2020-10-28 08:00:00,1908.3,1910.87,1905.26,1906.36,3965
2020-10-28 09:00:00,1906.36,1907.83,1905.6,1906.04,3538
2020-10-28 10:00:00,1906.04,1906.75,1901.97,1904.03,4802
2020-10-28 11:00:00,1904.03,1904.24,1899.34,1899.86,4280
2020-10-28 12:00:00,1899.86,1900.84,1895.82,1896.46,4027
2020-10-28 13:00:00,1896.46,1896.68,1890.68,1891.67,5845
2020-10-28 14:00:00,1891.67,1891.79,1876.61,1882.32,10318
2020-10-28 15:00:00,1882.17,1882.41,1873.09,1876.27,10600
2020-10-28 16:00:00,1876.27,1878.53,1870.5,1871.96,11077
2020-10-28 17:00:00,1871.8,1883.32,1869.36,1882.34,9014
2020-10-28 18:00:00,1882.34,1884.22,1879.89,1880.65,6672
2020-10-28 19:00:00,1880.62,1881.66,1877.08,1880.99,5458
2020-10-28 20:00:00,1880.99,1881.17,1876.72,1876.88,4993
2020-10-28 21:00:00,1876.82,1879.15,1876.01,1877.03,4748
2020-10-28 22:00:00,1877.02,1877.59,1875.0,1876.81,1406
2020-10-29 00:00:00,1877.7,1878.82,1876.99,1877.87,833
2020-10-29 01:00:00,1877.91,1879.81,1876.83,1879.61,1405
2020-10-29 02:00:00,1879.61,1880.15,1877.87,1878.35,2393
2020-10-29 03:00:00,1878.31,1879.45,1875.77,1878.26,4056
2020-10-29 04:00:00,1878.26,1879.46,1876.84,1878.35,2495
2020-10-29 05:00:00,1878.4,1881.97,1878.12,1881.77,2268
2020-10-29 06:00:00,1881.77,1882.58,1880.94,1881.83,1727
2020-10-29 07:00:00,1882.01,1883.27,1881.15,1882.6,2364
2020-10-29 08:00:00,1882.68,1884.97,1882.0,1882.8,2565
2020-10-29 09:00:00,1882.78,1883.84,1880.36,1881.29,4229
2020-10-29 10:00:00,1881.26,1882.44,1877.08,1877.58,5288
2020-10-29 11:00:00,1877.55,1881.78,1876.95,1877.34,4190
2020-10-29 12:00:00,1877.34,1879.44,1875.15,1877.99,4011
2020-10-29 13:00:00,1877.97,1879.01,1871.74,1872.0,4667
2020-10-29 14:00:00,1872.2,1874.12,1862.56,1864.19,8675
2020-10-29 15:00:00,1864.17,1873.74,1859.92,1871.74,12113
2020-10-29 16:00:00,1871.83,1876.71,1869.75,1873.78,11539
2020-10-29 17:00:00,1873.76,1873.88,1865.57,1867.88,8076
2020-10-29 18:00:00,1867.85,1872.29,1867.56,1868.28,5683
2020-10-29 19:00:00,1868.28,1869.22,1866.67,1867.74,4415
2020-10-29 20:00:00,1867.74,1869.89,1865.99,1869.13,3507
2020-10-29 21:00:00,1869.13,1871.47,1868.69,1869.24,3037
2020-10-29 22:00:00,1869.22,1870.53,1865.88,1867.11,1634
2020-10-30 00:00:00,1869.1,1869.17,1865.93,1866.6,919
