time,open,high,low,close,volume
2022-03-01 01:00:00,1908.3,1908.7,1905.76,1906.24,1047
2022-03-01 02:00:00,1906.24,1907.79,1905.11,1905.42,2276
2022-03-01 03:00:00,1905.39,1905.82,1902.64,1902.92,3654
2022-03-01 04:00:00,1902.89,1904.01,1901.39,1903.43,2744
2022-03-01 05:00:00,1903.45,1905.77,1902.81,1905.64,2163
2022-03-01 06:00:00,1905.64,1906.64,1904.57,1905.55,1460
2022-03-01 07:00:00,1905.56,1907.6,1904.58,1907.08,2316
2022-03-01 08:00:00,1907.08,1908.74,1904.66,1907.73,2958
2022-03-01 09:00:00,1907.78,1908.54,1906.26,1907.68,3605
2022-03-01 10:00:00,1907.68,1914.19,1907.17,1912.58,5580
2022-03-01 11:00:00,1912.58,1918.65,1911.96,1916.25,6064
2022-03-01 12:00:00,1916.23,1925.27,1915.38,1925.2,7588
2022-03-01 13:00:00,1925.2,1926.32,1920.07,1920.23,8419
2022-03-01 14:00:00,1920.23,1923.75,1911.05,1916.37,8215
2022-03-01 15:00:00,1916.36,1922.04,1912.36,1916.83,11231
2022-03-01 16:00:00,1916.83,1927.03,1916.14,1924.08,12138
2022-03-01 17:00:00,1924.08,1929.86,1917.97,1926.59,12977
2022-03-01 18:00:00,1926.68,1934.9,1923.27,1931.43,11288
2022-03-01 19:00:00,1931.51,1935.45,1929.72,1934.78,10104
2022-03-01 20:00:00,1934.79,1942.74,1934.33,1942.03,9689
2022-03-01 21:00:00,1942.03,1942.09,1936.57,1940.35,7718
2022-03-01 22:00:00,1940.32,1946.4,1939.17,1945.46,7046
2022-03-01 23:00:00,1945.58,1950.17,1940.08,1945.17,2956
2022-03-02 01:00:00,1942.98,1944.27,1941.87,1942.29,1944
2022-03-02 02:00:00,1942.33,1943.76,1934.74,1935.06,4281
2022-03-02 03:00:00,1935.12,1936.04,1930.97,1935.57,6177
2022-03-02 04:00:00,1935.56,1940.59,1934.35,1938.11,5676
2022-03-02 05:00:00,1938.11,1938.28,1933.47,1935.71,3930
2022-03-02 06:00:00,1935.69,1937.85,1935.22,1936.32,2582
2022-03-02 07:00:00,1936.3,1938.3,1933.28,1934.65,3862
2022-03-02 08:00:00,1934.69,1940.22,1931.91,1937.85,5995
2022-03-02 09:00:00,1937.86,1947.87,1935.64,1944.77,8115
2022-03-02 10:00:00,1944.79,1944.79,1933.89,1939.27,8168
2022-03-02 11:00:00,1939.3,1940.18,1931.38,1932.93,6909
2022-03-02 12:00:00,1932.93,1935.5,1913.42,1926.57,7357
2022-03-02 13:00:00,1926.56,1931.24,1925.34,1929.26,4946
2022-03-02 14:00:00,1929.26,1930.03,1923.28,1926.06,4839
2022-03-02 15:00:00,1926.08,1934.58,1922.72,1931.87,9325
2022-03-02 16:00:00,1931.88,1934.87,1922.18,1929.48,10192
2022-03-02 17:00:00,1929.5,1935.58,1922.96,1926.96,10845
2022-03-02 18:00:00,1926.91,1927.96,1916.32,1918.82,9941
2022-03-02 19:00:00,1918.82,1921.89,1914.88,1918.58,5653
2022-03-02 20:00:00,1918.58,1921.76,1917.3,1920.51,3993
2022-03-02 21:00:00,1920.51,1928.58,1920.18,1927.81,3581
2022-03-02 22:00:00,1927.83,1933.23,1924.74,1925.19,4416
2022-03-02 23:00:00,1925.11,1927.93,1924.67,1927.61,1657
2022-03-03 01:00:00,1929.27,1930.39,1928.22,1928.81,1473
2022-03-03 02:00:00,1928.81,1930.61,1928.08,1929.17,2155
2022-03-03 03:00:00,1929.0,1930.7,1926.17,1930.6,4867
2022-03-03 04:00:00,1930.6,1930.81,1927.71,1928.71,3548
2022-03-03 05:00:00,1928.71,1930.61,1926.79,1927.48,3143
2022-03-03 06:00:00,1927.5,1927.51,1923.68,1924.59,2376
2022-03-03 07:00:00,1924.46,1926.48,1922.08,1925.18,3464
2022-03-03 08:00:00,1925.18,1929.64,1925.08,1927.66,4026
2022-03-03 09:00:00,1927.66,1932.33,1925.15,1932.05,4956
2022-03-03 10:00:00,1932.08,1935.1,1928.41,1931.98,6058
2022-03-03 11:00:00,1931.91,1931.99,1923.7,1929.14,5775
2022-03-03 12:00:00,1929.13,1935.51,1929.12,1933.86,4789
2022-03-03 13:00:00,1933.86,1938.75,1932.32,1932.45,4925
2022-03-03 14:00:00,1932.4,1936.04,1929.7,1930.6,5609
2022-03-03 15:00:00,1930.6,1937.24,1924.24,1926.22,10152
2022-03-03 16:00:00,1926.13,1932.13,1924.49,1926.72,11265
2022-03-03 17:00:00,1926.72,1930.57,1925.54,1926.32,9515
2022-03-03 18:00:00,1926.25,1930.87,1923.29,1930.52,8936
2022-03-03 19:00:00,1930.45,1932.58,1927.48,1931.88,7025
2022-03-03 20:00:00,1931.95,1935.19,1931.26,1933.98,5453
2022-03-03 21:00:00,1934.06,1935.64,1932.35,1935.27,3972
2022-03-03 22:00:00,1935.29,1941.18,1934.95,1936.94,4726
